ID,parentID,nameID,status
Trochilini,Trochilinae,Trochilini,accepted
Gruae,Neoaves,Gruae,accepted
Opisthocomiformes,Gruae,Opisthocomiformes,accepted
Opisthocomidae,Opisthocomiformes,Opisthocomidae,accepted
Gruimorphae,Gruae,Gruimorphae,accepted
Gruiformes,Gruimorphae,Gruiformes,accepted
Psophiidae,Gruiformes,Psophiidae,accepted
Aramidae,Gruiformes,Aramidae,accepted
Gruidae,Gruiformes,Gruidae,accepted
Balearicinae,Gruidae,Balearicinae,accepted
Gruinae,Gruidae,Gruinae,accepted
Heliornithidae,Gruiformes,Heliornithidae,accepted
Sarothruridae,Gruiformes,Sarothruridae,accepted
Rallidae,Gruiformes,Rallidae,accepted
'Incertae sedis',Rallidae,'Incertae sedis',accepted
Rallinae,Rallidae,Rallinae,accepted
Gallinulinae,Rallidae,Gallinulinae,accepted
Pardirallini,Gallinulinae,Pardirallini,accepted
Gallinulini,Gallinulinae,Gallinulini,accepted
Porphyrioninae,Rallidae,Porphyrioninae,accepted
Porphyrionini,Porphyrioninae,Porphyrionini,accepted
Himantornithini,Porphyrioninae,Himantornithini,accepted
Zapornini,Porphyrioninae,Zapornini,accepted
Laterallini,Porphyrioninae,Laterallini,accepted
Mirandornithes,Gruae,Mirandornithes,accepted
Phoenicopteriformes,Mirandornithes,Phoenicopteriformes,accepted
Phoenicopteridae,Phoenicopteriformes,Phoenicopteridae,accepted
Podicipediformes,Mirandornithes,Podicipediformes,accepted
Podicipedidae,Podicipediformes,Podicipedidae,accepted
Ardeae,Neoaves,Ardeae,accepted
Eurypygimorphae,Ardeae,Eurypygimorphae,accepted
Eurypygiformes,Eurypygimorphae,Eurypygiformes,accepted
Aptornithidae,Eurypygiformes,Aptornithidae,accepted
Rhynochetidae,Eurypygiformes,Rhynochetidae,accepted
Eurypygidae,Eurypygiformes,Eurypygidae,accepted
Phaethontiformes,Eurypygimorphae,Phaethontiformes,accepted
Phaethontidae,Phaethontiformes,Phaethontidae,accepted
Aequornithes,Ardeae,Aequornithes,accepted
Gaviiformes,Aequornithes,Gaviiformes,accepted
Gaviidae,Gaviiformes,Gaviidae,accepted
Sphenisciformes,Aequornithes,Sphenisciformes,accepted
Spheniscidae,Sphenisciformes,Spheniscidae,accepted
Procellariiformes,Aequornithes,Procellariiformes,accepted
Diomedeidae,Procellariiformes,Diomedeidae,accepted
Oceanitidae,Procellariiformes,Oceanitidae,accepted
Hydrobatidae,Procellariiformes,Hydrobatidae,accepted
Procellariidae,Procellariiformes,Procellariidae,accepted
Fulmarinae,Procellariidae,Fulmarinae,accepted
Pelecanoidinae,Procellariidae,Pelecanoidinae,accepted
Pterodrominae,Procellariidae,Pterodrominae,accepted
Procellariinae,Procellariidae,Procellariinae,accepted
Ciconiiformes,Aequornithes,Ciconiiformes,accepted
Ciconiidae,Ciconiiformes,Ciconiidae,accepted
Suliformes,Aequornithes,Suliformes,accepted
Fregatidae,Suliformes,Fregatidae,accepted
Sulidae,Suliformes,Sulidae,accepted
Anhingidae,Suliformes,Anhingidae,accepted
Phalacrocoracidae,Suliformes,Phalacrocoracidae,accepted
Plataleiformes,Aequornithes,Plataleiformes,accepted
Threskiornithidae,Plataleiformes,Threskiornithidae,accepted
Eudociminae,Threskiornithidae,Eudociminae,accepted
Threskiornithinae,Threskiornithidae,Threskiornithinae,accepted
Pelecaniformes,Aequornithes,Pelecaniformes,accepted
Scopidae,Pelecaniformes,Scopidae,accepted
Balaenicipitidae,Pelecaniformes,Balaenicipitidae,accepted
Pelecanidae,Pelecaniformes,Pelecanidae,accepted
Ardeiformes,Aequornithes,Ardeiformes,accepted
Ardeidae,Ardeiformes,Ardeidae,accepted
Tigriornithinae,Ardeidae,Tigriornithinae,accepted
Cochleariinae,Ardeidae,Cochleariinae,accepted
Botaurinae,Ardeidae,Botaurinae,accepted
Nycticoracinae,Ardeidae,Nycticoracinae,accepted
Ardeinae,Ardeidae,Ardeinae,accepted
Charadriiformes,Aequornithes,Charadriiformes,accepted
Chionidi,Charadriiformes,Chionidi,accepted
Pluvianellidae,Chionidi,Pluvianellidae,accepted
Chionidae,Chionidi,Chionidae,accepted
Burhinidae,Chionidi,Burhinidae,accepted
Charadrii,Charadriiformes,Charadrii,accepted
Pluvianidae,Charadrii,Pluvianidae,accepted
Pluvialidae,Charadrii,Pluvialidae,accepted
Recurvirostridae,Charadrii,Recurvirostridae,accepted
Ibidorhynchidae,Charadrii,Ibidorhynchidae,accepted
Haematopodidae,Charadrii,Haematopodidae,accepted
Charadriidae,Charadrii,Charadriidae,accepted
Charadriinae,Charadriidae,Charadriinae,accepted
Vanellinae,Charadriidae,Vanellinae,accepted
Anarhynchinae,Charadriidae,Anarhynchinae,accepted
Scolopaci (Limicoli),Charadriiformes,Scolopaci (Limicoli),accepted
Pedionomidae,Scolopaci (Limicoli),Pedionomidae,accepted
Thinocoridae,Scolopaci (Limicoli),Thinocoridae,accepted
Rostratulidae,Scolopaci (Limicoli),Rostratulidae,accepted
Jacanidae,Scolopaci (Limicoli),Jacanidae,accepted
Scolopacidae,Scolopaci (Limicoli),Scolopacidae,accepted
Numeninae,Scolopacidae,Numeninae,accepted
Limosinae,Scolopacidae,Limosinae,accepted
Arenariinae,Scolopacidae,Arenariinae,accepted
Tringinae,Scolopacidae,Tringinae,accepted
Scolopacinae,Scolopacidae,Scolopacinae,accepted
Turnici,Charadriiformes,Turnici,accepted
Turnicidae,Turnici,Turnicidae,accepted
Lari,Charadriiformes,Lari,accepted
Dromadidae,Lari,Dromadidae,accepted
Glareolidae,Lari,Glareolidae,accepted
Stercorariidae,Lari,Stercorariidae,accepted
Alcidae,Lari,Alcidae,accepted
Laridae,Lari,Laridae,accepted
Gyginae,Laridae,Gyginae,accepted
Rhynchopinae,Laridae,Rhynchopinae,accepted
Anoinae,Laridae,Anoinae,accepted
Sterninae,Laridae,Sterninae,accepted
Larinae,Laridae,Larinae,accepted
Telluraves,Neoaves,Telluraves,accepted
Afroaves,Telluraves,Afroaves,accepted
Coliiformes,Afroaves,Coliiformes,accepted
Coliidae,Coliiformes,Coliidae,accepted
Accipitrimorphae,Afroaves,Accipitrimorphae,accepted
Cathartiformes,Accipitrimorphae,Cathartiformes,accepted
Cathartidae,Cathartiformes,Cathartidae,accepted
Accipitriformes,Accipitrimorphae,Accipitriformes,accepted
Sagittariidae,Accipitriformes,Sagittariidae,accepted
Pandionidae,Accipitriformes,Pandionidae,accepted
Accipitridae,Accipitriformes,Accipitridae,accepted
Elaninae,Accipitridae,Elaninae,accepted
Gypaetinae,Accipitridae,Gypaetinae,accepted
Perninae,Accipitridae,Perninae,accepted
Gypinae,Accipitridae,Gypinae,accepted
Circaetinae,Accipitridae,Circaetinae,accepted
Lophospizinae,Accipitridae,Lophospizinae,accepted
Harpiinae,Accipitridae,Harpiinae,accepted
Aquilinae,Accipitridae,Aquilinae,accepted
Accipitrinae,Accipitridae,Accipitrinae,accepted
Melieraxini,Accipitrinae,Melieraxini,accepted
Accipitrini,Accipitrinae,Accipitrini,accepted
Buteoninae,Accipitridae,Buteoninae,accepted
Harpagini,Buteoninae,Harpagini,accepted
Milvini,Buteoninae,Milvini,accepted
Buteonini,Buteoninae,Buteonini,accepted
Strigiformes,Accipitrimorphae,Strigiformes,accepted
Tytonidae,Strigiformes,Tytonidae,accepted
Strigidae,Strigiformes,Strigidae,accepted
Ninoxinae,Strigidae,Ninoxinae,accepted
Surniinae,Strigidae,Surniinae,accepted
Striginae,Strigidae,Striginae,accepted
Otini,Striginae,Otini,accepted
Asionini,Striginae,Asionini,accepted
Megascopini,Striginae,Megascopini,accepted
Pulsatricini,Striginae,Pulsatricini,accepted
Strigini,Striginae,Strigini,accepted
Bubonini,Striginae,Bubonini,accepted
Picimorphae,Afroaves,Picimorphae,accepted
Leptosomiformes,Picimorphae,Leptosomiformes,accepted
Leptosomidae,Leptosomiformes,Leptosomidae,accepted
Trogoniformes,Picimorphae,Trogoniformes,accepted
Trogonidae,Trogoniformes,Trogonidae,accepted
Bucerotiformes,Picimorphae,Bucerotiformes,accepted
Upupidae,Bucerotiformes,Upupidae,accepted
Phoeniculidae,Bucerotiformes,Phoeniculidae,accepted
Bucorvidae,Bucerotiformes,Bucorvidae,accepted
Bucerotidae,Bucerotiformes,Bucerotidae,accepted
Coraciiformes,Picimorphae,Coraciiformes,accepted
Meropi,Coraciiformes,Meropi,accepted
Meropidae,Meropi,Meropidae,accepted
Coracii,Coraciiformes,Coracii,accepted
Brachypteracidae,Coracii,Brachypteracidae,accepted
Coraciidae,Coracii,Coraciidae,accepted
Halcyoni,Coraciiformes,Halcyoni,accepted
Todidae,Halcyoni,Todidae,accepted
Momotidae,Halcyoni,Momotidae,accepted
Alcedinidae,Halcyoni,Alcedinidae,accepted
Alcedininae,Alcedinidae,Alcedininae,accepted
Cerylinae,Alcedinidae,Cerylinae,accepted
Halcyoninae,Alcedinidae,Halcyoninae,accepted
Piciformes,Picimorphae,Piciformes,accepted
Galbuli,Piciformes,Galbuli,accepted
Galbulidae,Galbuli,Galbulidae,accepted
Bucconidae,Galbuli,Bucconidae,accepted
Pici,Piciformes,Pici,accepted
Ramphastides,Pici,Ramphastides,accepted
Megalaimidae,Ramphastides,Megalaimidae,accepted
Lybiidae,Ramphastides,Lybiidae,accepted
Capitonidae,Ramphastides,Capitonidae,accepted
Semnornithidae,Ramphastides,Semnornithidae,accepted
Ramphastidae,Ramphastides,Ramphastidae,accepted
Picides,Pici,Picides,accepted
Indicatoridae,Picides,Indicatoridae,accepted
Picidae,Picides,Picidae,accepted
Jynginae,Picidae,Jynginae,accepted
Picumninae,Picidae,Picumninae,accepted
Picinae,Picidae,Picinae,accepted
Nesoctitini,Picinae,Nesoctitini,accepted
Hemicircini,Picinae,Hemicircini,accepted
Chrysocolaptini,Picinae,Chrysocolaptini,accepted
Campephilini,Picinae,Campephilini,accepted
Picini,Picinae,Picini,accepted
Melanerpini,Picinae,Melanerpini,accepted
Picoidini,Picinae,Picoidini,accepted
Australaves,Telluraves,Australaves,accepted
Cariamiformes,Australaves,Cariamiformes,accepted
Cariamidae,Cariamiformes,Cariamidae,accepted
Falconiformes,Australaves,Falconiformes,accepted
Falconidae,Falconiformes,Falconidae,accepted
Herpetotherinae,Falconidae,Herpetotherinae,accepted
Caracarinae,Falconidae,Caracarinae,accepted
Falconinae,Falconidae,Falconinae,accepted
Polihieracini,Falconinae,Polihieracini,accepted
Falconini,Falconinae,Falconini,accepted
Psittaciformes,Australaves,Psittaciformes,accepted
Strigopidae,Psittaciformes,Strigopidae,accepted
Cacatuidae,Psittaciformes,Cacatuidae,accepted
Psittacidae,Psittaciformes,Psittacidae,accepted
Psittacinae,Psittacidae,Psittacinae,accepted
Arinae,Psittacidae,Arinae,accepted
Amoropsittacini,Arinae,Amoropsittacini,accepted
Brotogerini,Arinae,Brotogerini,accepted
Androglossini,Arinae,Androglossini,accepted
Forpini,Arinae,Forpini,accepted
Arini,Arinae,Arini,accepted
Psittaculidae,Psittaciformes,Psittaculidae,accepted
Psittrichasinae,Psittaculidae,Psittrichasinae,accepted
Psittaculinae,Psittaculidae,Psittaculinae,accepted
Psittaculini,Psittaculinae,Psittaculini,accepted
Psittacellini,Psittaculinae,Psittacellini,accepted
Pezoporini,Psittaculinae,Pezoporini,accepted
Platycercini,Psittaculinae,Platycercini,accepted
Agapornithini,Psittaculinae,Agapornithini,accepted
Loriini,Psittaculinae,Loriini,accepted
Passeriformes,Australaves,Passeriformes,accepted
Acanthisitti,Passeriformes,Acanthisitti,accepted
Acanthisittidae,Acanthisitti,Acanthisittidae,accepted
Tyranni (Suboscines),Passeriformes,Tyranni (Suboscines),accepted
Eurylaimides,Tyranni (Suboscines),Eurylaimides,accepted
Sapayoidae,Eurylaimides,Sapayoidae,accepted
Philepittidae,Eurylaimides,Philepittidae,accepted
Philepittinae,Philepittidae,Philepittinae,accepted
Neodrepaninae,Philepittidae,Neodrepaninae,accepted
Eurylaimidae,Eurylaimides,Eurylaimidae,accepted
Pseudocalyptomeninae,Eurylaimidae,Pseudocalyptomeninae,accepted
Eurylaiminae,Eurylaimidae,Eurylaiminae,accepted
Smithornithidae,Eurylaimides,Smithornithidae,accepted
Calyptomenidae,Eurylaimides,Calyptomenidae,accepted
Pittidae,Eurylaimides,Pittidae,accepted
Tyrannides,Tyranni (Suboscines),Tyrannides,accepted
Tyrannida,Tyrannides,Tyrannida,accepted
Pipridae,Tyrannida,Pipridae,accepted
Neopelminae,Pipridae,Neopelminae,accepted
Piprinae,Pipridae,Piprinae,accepted
Cotingidae,Tyrannida,Cotingidae,accepted
Pipreolinae,Cotingidae,Pipreolinae,accepted
Rupicolinae,Cotingidae,Rupicolinae,accepted
Phytotominae,Cotingidae,Phytotominae,accepted
Cotinginae,Cotingidae,Cotinginae,accepted
Cephalopterinini,Cotinginae,Cephalopterinini,accepted
Lipaugidini,Cotinginae,Lipaugidini,accepted
Procniatini,Cotinginae,Procniatini,accepted
Cotingini,Cotinginae,Cotingini,accepted
Oxyruncidae,Tyrannida,Oxyruncidae,accepted
Onychorhynchidae,Tyrannida,Onychorhynchidae,accepted
Tityridae,Tyrannida,Tityridae,accepted
Ptilochlorinae,Tityridae,Ptilochlorinae,accepted
Tityrinae,Tityridae,Tityrinae,accepted
Pipritidae,Tyrannida,Pipritidae,accepted
Platyrinchidae,Tyrannida,Platyrinchidae,accepted
Tachurididae,Tyrannida,Tachurididae,accepted
Rhynchocyclidae,Tyrannida,Rhynchocyclidae,accepted
Pipromorphinae,Rhynchocyclidae,Pipromorphinae,accepted
Rhynchocyclinae,Rhynchocyclidae,Rhynchocyclinae,accepted
Cnipodectinae,Rhynchocyclidae,Cnipodectinae,accepted
Triccinae,Rhynchocyclidae,Triccinae,accepted
Tyrannidae,Tyrannida,Tyrannidae,accepted
Hirundineinae,Tyrannidae,Hirundineinae,accepted
Elaeniinae,Tyrannidae,Elaeniinae,accepted
Euscarthmini,Elaeniinae,Euscarthmini,accepted
Elaeniini,Elaeniinae,Elaeniini,accepted
Muscigrallinae,Tyrannidae,Muscigrallinae,accepted
Tyranninae,Tyrannidae,Tyranninae,accepted
Fluvicolinae,Tyrannidae,Fluvicolinae,accepted
Fluvicolini,Fluvicolinae,Fluvicolini,accepted
Ochthoecini,Fluvicolinae,Ochthoecini,accepted
Contopini,Fluvicolinae,Contopini,accepted
Xolmiini,Fluvicolinae,Xolmiini,accepted
Furnariida,Tyrannides,Furnariida,accepted
Melanopareioidea,Furnariida,Melanopareioidea,accepted
Melanopareiidae,Melanopareioidea,Melanopareiidae,accepted
Thamnophiloidea,Furnariida,Thamnophiloidea,accepted
Conopophagidae,Thamnophiloidea,Conopophagidae,accepted
Thamnophilidae,Thamnophiloidea,Thamnophilidae,accepted
Euchrepomidinae,Thamnophilidae,Euchrepomidinae,accepted
Myrmornithinae,Thamnophilidae,Myrmornithinae,accepted
Thamnophilinae,Thamnophilidae,Thamnophilinae,accepted
Microrhopiini,Thamnophilinae,Microrhopiini,accepted
Formicivorini,Thamnophilinae,Formicivorini,accepted
Thamnophilini,Thamnophilinae,Thamnophilini,accepted
Pyriglenini,Thamnophilinae,Pyriglenini,accepted
Pithyini,Thamnophilinae,Pithyini,accepted
Drymophilini,Thamnophilinae,Drymophilini,accepted
Furnarioidea,Furnariida,Furnarioidea,accepted
Grallariidae,Furnarioidea,Grallariidae,accepted
Rhinocryptidae,Furnarioidea,Rhinocryptidae,accepted
Formicariidae,Furnarioidea,Formicariidae,accepted
Furnariidae,Furnarioidea,Furnariidae,accepted
Sclerurinae,Furnariidae,Sclerurinae,accepted
Dendrocolaptinae,Furnariidae,Dendrocolaptinae,accepted
Xenopinae,Furnariidae,Xenopinae,accepted
Furnariinae,Furnariidae,Furnariinae,accepted
Berlepschiini,Furnariinae,Berlepschiini,accepted
Pygarrhichadini,Furnariinae,Pygarrhichadini,accepted
Furnariini,Furnariinae,Furnariini,accepted
Philydornini,Furnariinae,Philydornini,accepted
Margarornini,Furnariinae,Margarornini,accepted
Synallaxini,Furnariinae,Synallaxini,accepted
Passeri (Oscines),Passeriformes,Passeri (Oscines),accepted
Menurida,Passeri (Oscines),Menurida,accepted
Menuridae,Menurida,Menuridae,accepted
Atrichornithidae,Menurida,Atrichornithidae,accepted
Climacterida,Passeri (Oscines),Climacterida,accepted
Climacteridae,Climacterida,Climacteridae,accepted
Ptilonorhynchidae,Climacterida,Ptilonorhynchidae,accepted
Ailuroedinae,Ptilonorhynchidae,Ailuroedinae,accepted
Ptilonorhynchinae,Ptilonorhynchidae,Ptilonorhynchinae,accepted
Meliphagida,Passeri (Oscines),Meliphagida,accepted
Maluridae,Meliphagida,Maluridae,accepted
Amytornithinae,Maluridae,Amytornithinae,accepted
Malurinae,Maluridae,Malurinae,accepted
Dasyornithidae,Meliphagida,Dasyornithidae,accepted
Pardalotidae,Meliphagida,Pardalotidae,accepted
Pardalotinae,Pardalotidae,Pardalotinae,accepted
Pachycareinae,Pardalotidae,Pachycareinae,accepted
Acanthizinae,Pardalotidae,Acanthizinae,accepted
Meliphagidae,Meliphagida,Meliphagidae,accepted
Myzinae,Meliphagidae,Myzinae,accepted
Gliciphilinae,Meliphagidae,Gliciphilinae,accepted
Acanthorhynchini,Gliciphilinae,Acanthorhynchini,accepted
Gliciphilini,Gliciphilinae,Gliciphilini,accepted
Epthianurini,Gliciphilinae,Epthianurini,accepted
Meliphaginae,Meliphagidae,Meliphaginae,accepted
Philemoninae,Meliphagidae,Philemoninae,accepted
Phylidonyrini,Philemoninae,Phylidonyrini,accepted
Melithreptini,Philemoninae,Melithreptini,accepted
Philemonini,Philemoninae,Philemonini,accepted
Myzomelini,Philemoninae,Myzomelini,accepted
Orthonychida,Passeri (Oscines),Orthonychida,accepted
Orthonychidae,Orthonychida,Orthonychidae,accepted
Pomatostomidae,Orthonychida,Pomatostomidae,accepted
Corvida,Passeri (Oscines),Corvida,accepted
Cinclosomatoidea,Corvida,Cinclosomatoidea,accepted
Cinclosomatidae,Cinclosomatoidea,Cinclosomatidae,accepted
Campephagoidea,Corvida,Campephagoidea,accepted
Campephagidae,Campephagoidea,Campephagidae,accepted
Pericrocotinae,Campephagidae,Pericrocotinae,accepted
Campephaginae,Campephagidae,Campephaginae,accepted
Neosittoidea,Corvida,Neosittoidea,accepted
Neosittidae,Neosittoidea,Neosittidae,accepted
Mohouoidea,Corvida,Mohouoidea,accepted
Mohouidae,Mohouoidea,Mohouidae,accepted
Orioloidea,Corvida,Orioloidea,accepted
Eulacestomatidae,Orioloidea,Eulacestomatidae,accepted
Psophodidae,Orioloidea,Psophodidae,accepted
Oreoicidae,Orioloidea,Oreoicidae,accepted
Falcunculidae,Orioloidea,Falcunculidae,accepted
Paramythiidae,Orioloidea,Paramythiidae,accepted
Pteruthiidae,Orioloidea,Pteruthiidae,accepted
Vireonidae,Orioloidea,Vireonidae,accepted
Erporninae,Vireonidae,Erporninae,accepted
Vireoninae,Vireonidae,Vireoninae,accepted
Pachycephalidae,Orioloidea,Pachycephalidae,accepted
Oriolidae,Orioloidea,Oriolidae,accepted
Malaconotoidea,Corvida,Malaconotoidea,accepted
Machaerirhynchidae,Malaconotoidea,Machaerirhynchidae,accepted
Artamidae,Malaconotoidea,Artamidae,accepted
Artaminae,Artamidae,Artaminae,accepted
Cracticinae,Artamidae,Cracticinae,accepted
Rhagologidae,Malaconotoidea,Rhagologidae,accepted
Aegithinidae,Malaconotoidea,Aegithinidae,accepted
Pityriaseidae,Malaconotoidea,Pityriaseidae,accepted
Malaconotidae,Malaconotoidea,Malaconotidae,accepted
Platysteiridae,Malaconotoidea,Platysteiridae,accepted
Vangidae,Malaconotoidea,Vangidae,accepted
Prionopinae,Vangidae,Prionopinae,accepted
Tephrodornithinae,Vangidae,Tephrodornithinae,accepted
Philentominae,Vangidae,Philentominae,accepted
Vanginae,Vangidae,Vanginae,accepted
Corvoidea,Corvida,Corvoidea,accepted
Dicruridae,Corvoidea,Dicruridae,accepted
Lamproliidae,Corvoidea,Lamproliidae,accepted
Rhipiduridae,Corvoidea,Rhipiduridae,accepted
Ifritidae,Corvoidea,Ifritidae,accepted
Melampittidae,Corvoidea,Melampittidae,accepted
Corcoracidae,Corvoidea,Corcoracidae,accepted
Paradisaeidae,Corvoidea,Paradisaeidae,accepted
Phonygamminae,Paradisaeidae,Phonygamminae,accepted
Paradisaeinae,Paradisaeidae,Paradisaeinae,accepted
Monarchidae,Corvoidea,Monarchidae,accepted
Terpsiphoninae,Monarchidae,Terpsiphoninae,accepted
Monarchinae,Monarchidae,Monarchinae,accepted
Laniidae,Corvoidea,Laniidae,accepted
Corvidae,Corvoidea,Corvidae,accepted
Pyrrhocoracinae,Corvidae,Pyrrhocoracinae,accepted
